"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"LIMS2",26.3920694259992,-5.48826347797398,0.776640090709838,9.51261392252703e-13,2.47920279166433e-11,"LIMS2"
"LOC105374869",8.91302941641763,-5.45748121509154,1.3931080493973,8.06116824632789e-07,8.1855472614823e-06,"LOC105374869"
"MIR663AHG",3.58553319134691,-5.44229154562454,2.7431227897191,0.00029014163478598,0.00161319982274203,"MIR663AHG"
"ACE",68.9941825730116,-5.41287921129949,0.581276958758943,2.91787172611729e-21,2.07000744014179e-19,"ACE"
"LOC107985900",15.0514949487943,-5.40891605490464,1.10175143239542,9.73684420468477e-08,1.16842130456217e-06,"LOC107985900"
"CD3G",480.862614138367,-5.39180180834096,0.310648050853465,1.02161773721808e-68,1.42536106696666e-65,"CD3G"
"TRBV6-5",58.344434414423,-5.38647052360188,0.552000600635097,2.45004849146753e-23,2.16348585778196e-21,"TRBV6-5"
"KIAA0408",8.75714309734783,-5.38291739977637,1.40513019541641,1.22066051948953e-06,1.19653317807386e-05,"KIAA0408"
"LOC105371287",3.43075541916485,-5.38037770895117,2.70975265368983,0.000273630520589493,0.00153403148537287,"LOC105371287"
"SNTG2",8.91269717297076,-5.37602956849264,1.45431552711821,2.47651400756828e-06,2.2811833252812e-05,"SNTG2"
"LINC02446",865.887341873671,-5.36435662377531,0.689863937361717,4.52530970844569e-16,1.83894527336605e-14,"LINC02446"
"ALOXE3",3.19894147151982,-5.36088068161405,2.61055680561458,0.000147577555556348,0.000885719266614068,"ALOXE3"
"TRAV18",3.16239349871634,-5.35216889593887,2.60322339102625,0.0001433739694057,0.000863213587952386,"TRAV18"
"CCR7",2004.86255448802,-5.29124509439579,0.398991700915816,2.81728774407095e-41,9.21253092311202e-39,"CCR7"
"MFSD4B-DT",3.09328817452127,-5.286142341459,2.60730078468741,0.000176664371527819,0.00104030129755873,"MFSD4B-DT"
"GJB6",29.2760880109804,-5.28311561861622,0.905567093502771,9.45307559828849e-10,1.60709964354981e-08,"GJB6"
"PDCD1",71.9853108391083,-5.27961455837368,0.488522953929388,1.2155512478449e-27,1.58006562204335e-25,"PDCD1"
"SUSD3",218.701284601403,-5.27150727105339,0.452107046508563,1.39132460867125e-32,2.85467072649725e-30,"SUSD3"
"LOC100507336",3.58428733497739,-5.26251831707074,2.88250758313194,0.000760828926667386,0.0037920047100012,"LOC100507336"
"CD101",76.4810979383688,-5.25603608304668,0.687732448067362,6.11161154365724e-16,2.42242057548596e-14,"CD101"
"GLB1L3",53.58724287905,-5.25247121820503,0.658251328480673,2.00443092832317e-16,8.50887027747411e-15,"GLB1L3"
"LOC105369608",8.18771769563013,-5.24854735656714,1.436296093236,3.16283726316553e-06,2.85555902689941e-05,"LOC105369608"
"TRAJ31",3.20984376517349,-5.21203390938022,2.72820006701696,0.000436823896189841,0.00231732585537668,"TRAJ31"
"IER5L-AS1",17.2608780816438,-5.19168916347339,0.981190101818048,2.85537875146475e-08,3.77971957689148e-07,"IER5L-AS1"
